taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory
4RLZM,Ratibida columnifera (Nutt.) Wooton & Standl.,4RLZM,Ratibida columnifera (Nutt.) Wooton & Standl.,67,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Ratibida,63QJS,Ratibida columnifera,4RLZM,
3K5TS,Helianthus annuus L.,3K5TS,Helianthus annuus L.,18,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Helianthus,62TKF,Helianthus annuus,3K5TS,LC
8WS74,Carex nebrascensis Dewey,8WS74,Carex nebrascensis Dewey,10,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Poales,627VM,Cyperaceae,8W5,Carex,8VRHY,Carex nebrascensis,8WS74,LC
3QTHL,Juncus balticus Willd.,3QTHL,Juncus balticus Willd.,3,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Poales,627VM,Juncaceae,BJG,Juncus,56Y4,Juncus balticus,3QTHL,LC
48XY9,Oenothera latifolia (Rydb.) Munz,48XY9,Oenothera latifolia (Rydb.) Munz,7,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Myrtales,3LY,Onagraceae,DL8,Oenothera,63FVB,Oenothera latifolia,48XY9,
8X648,Poa secunda subsp. secunda,8X648,Poa secunda subsp. secunda,1,SUBSPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Poales,627VM,Poaceae,627FW,Poa,8W2K5,Poa secunda,4KMRQ,
5V9FK,Antennaria microphylla Rydb.,5V9FK,Antennaria microphylla Rydb.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Antennaria,X99,Antennaria microphylla,5V9FK,
56884,Thelesperma filifolium (Hook.) A.Gray,56884,Thelesperma filifolium (Hook.) A.Gray,32,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Thelesperma,7VK5,Thelesperma filifolium,56884,
3HN2F,Gutierrezia sarothrae (Pursh) Britton & Rusby,3HN2F,Gutierrezia sarothrae (Pursh) Britton & Rusby,30,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Gutierrezia,4RMM,Gutierrezia sarothrae,3HN2F,
6Z6GB,Sophora nuttalliana B.L.Turner,6Z6GB,Sophora nuttalliana B.L.Turner,43,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fabales,383,Fabaceae,623QT,Sophora,9CM3N,Sophora nuttalliana,6Z6GB,LC
