"genus","species","scientific_name","common_name"
"Aristida","dichotoma","Aristida dichotoma"," var. curtissii"
"Aristida","dichotoma","Aristida dichotoma"," var. dichotoma"
"Aristida","oligantha","Aristida oligantha"," Prairie Three-Awn"
"Arnoglossum","atriplicifolium","Arnoglossum atriplicifolium"," Pale Indian-Plantain"
"Aronia","arbutifolia","Aronia arbutifolia"," Red Chokeberry"
"Aronia","melanocarpa","Aronia melanocarpa"," Black Chokeberry"
"Arrhenatherum","elatius","Arrhenatherum elatius"," Tall Oat Grass"
"Arrhenatherum","elatius","Arrhenatherum elatius"," var. bulbosum"
"Arrhenatherum","elatius","Arrhenatherum elatius"," var. elatius"
"Artemisia","annua","Artemisia annua"," Annual Wormwood"
"Artemisia","ludoviciana","Artemisia ludoviciana"," White Sagebrush"
"Artemisia","ludoviciana","Artemisia ludoviciana"," ssp. ludoviciana"
"Arthraxon","hispidus","Arthraxon hispidus"," Small Carp Grass"
"Aruncus","dioicus","Aruncus dioicus"," Bride's-Feathers"
"Aruncus","dioicus","Aruncus dioicus"," var. dioicus"
"Asarum","canadense","Asarum canadense"," Canadian Wild Ginger"
"Asclepias","exaltata","Asclepias exaltata"," Poke Milkweed"
"Asclepias","incarnata","Asclepias incarnata"," Swamp Milkweed"
"Asclepias","incarnata","Asclepias incarnata"," ssp. incarnata"
"Asclepias","incarnata","Asclepias incarnata"," ssp. pulchra"
"Asclepias","purpurascens","Asclepias purpurascens"," Purple Milkweed"
"Asclepias","quadrifolia","Asclepias quadrifolia"," Four-Leaf Milkweed"
"Asclepias","syriaca","Asclepias syriaca"," Common Milkweed"
"Asclepias","tuberosa","Asclepias tuberosa"," Butterfly Milkweed"
"Asclepias","tuberosa","Asclepias tuberosa"," ssp. tuberosa"
"Asclepias","variegata","Asclepias variegata"," Red-Ring Milkweed"
"Asclepias","verticillata","Asclepias verticillata"," Whorled Milkweed"
"Asclepias","viridiflora","Asclepias viridiflora"," Green Comet Milkweed"
"Asimina","triloba","Asimina triloba"," Common Pawpaw"
"Asparagus","officinalis","Asparagus officinalis"," Asparagus"
"Asplenium","bradleyi","Asplenium bradleyi"," Bradley's Spleenwort"
"Asplenium","montanum","Asplenium montanum"," Mountain Spleenwort"
"Asplenium","pinnatifidum","Asplenium pinnatifidum"," Lobed Spleenwort"
"Asplenium","platyneuron","Asplenium platyneuron"," Ebony Spleenwort"
"Asplenium","resiliens","Asplenium resiliens"," Black-Stem Spleenwort"
"Asplenium","rhizophyllum","Asplenium rhizophyllum"," Walking Fern"
"Asplenium","ruta-muraria","Asplenium ruta-muraria"," Wall-Rue"
"Asplenium","trichomanes","Asplenium trichomanes"," Maidenhair Spleenwort"
"Asplenium","trichomanes","Asplenium trichomanes"," ssp. trichomanes"
"Aster","tataricus","Aster tataricus"," Tatarian Aster"
"Astragalus","distortus","Astragalus distortus"," Ozark Milk-Vetch"
"Astragalus","distortus","Astragalus distortus"," var. distortus"
"Athyrium","asplenioides","Athyrium asplenioides"," Southern Lady Fern"
"Atocion","armeria","Atocion armeria"," None-So-Pretty"
"Atriplex","patula","Atriplex patula"," Halberd-Leaf Orache"
"Aureolaria","flava","Aureolaria flava"," Smooth Yellow False Foxglove"
"Aureolaria","laevigata","Aureolaria laevigata"," Entire-Leaf Yellow False Foxglove"
"Aureolaria","pedicularia","Aureolaria pedicularia"," Fern-Leaf Yellow False Foxglove"
"Aureolaria","virginica","Aureolaria virginica"," Downy Yellow False Foxglove"
"Avena","sativa","Avena sativa"," Oat"
"Azolla","microphylla","Azolla microphylla"," Mexican Mosquito Fern"
"Baptisia","australis","Baptisia australis"," Blue Wild Indigo"
"Baptisia","australis","Baptisia australis"," var. australis"
"Baptisia","tinctoria","Baptisia tinctoria"," Horseflyweed"
"Barbarea","verna","Barbarea verna"," Early Yellow-Rocket"
"Barbarea","vulgaris","Barbarea vulgaris"," Garden Yellow-Rocket"
"Bartonia","virginica","Bartonia virginica"," Yellow Screwstem"
"Bassia","scoparia","Bassia scoparia"," Mexican-Fireweed"
"Belamcanda","chinensis","Belamcanda chinensis"," Blackberry-Lily"
"Berberis","thunbergii","Berberis thunbergii"," Japanese Barberry"
"Betula","alleghaniensis","Betula alleghaniensis"," Yellow Birch"
"Betula","cordifolia","Betula cordifolia"," Heart-Leaf Paper Birch"
"Betula","lenta","Betula lenta"," Sweet Birch"
"Bidens","aristosa","Bidens aristosa"," Bearded Beggarticks"
"Bidens","bipinnata","Bidens bipinnata"," Spanish-Needles"
"Bidens","cernua","Bidens cernua"," Nodding Burr-Marigold"
"Bidens","frondosa","Bidens frondosa"," Devil's-Pitchfork"
"Bidens","laevis","Bidens laevis"," Smooth Beggarticks"
"Bidens","tripartita","Bidens tripartita"," Three-Lobe Beggarticks"
"Bidens","vulgata","Bidens vulgata"," Tall Beggarticks"
"Blephilia","ciliata","Blephilia ciliata"," Downy Pagoda-Plant"
"Boehmeria","cylindrica","Boehmeria cylindrica"," Small-Spike False Nettle"
"Borodinia","canadensis","Borodinia canadensis"," Sicklepod"
"Borodinia","dentata","Borodinia dentata"," Short's False Rockcress"
