taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory
5BC3V,Viburnum acerifolium L.,5BC3V,Viburnum acerifolium L.,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Dipsacales,35C,Viburnaceae,HTT,Viburnum,86MY,Viburnum acerifolium,5BC3V,
4Y76N,Solidago caesia L.,4Y76N,Solidago caesia L.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Solidago,7JH2,Solidago caesia,4Y76N,
6X6G8,Rhododendron periclymenoides (Michx.) Shinners,6X6G8,Rhododendron periclymenoides (Michx.) Shinners,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Ericales,625QY,Ericaceae,623P8,Rhododendron,63QC9,Rhododendron periclymenoides,6X6G8,
4XWRV,Smilax pulverulenta Michx.,4XWRV,Smilax pulverulenta Michx.,6,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Liliales,623DL,Smilacaceae,GCL,Smilax,8W3MJ,Smilax pulverulenta,4XWRV,
TKDJ,Chamaelirium luteum (L.) A.Gray,TKDJ,Chamaelirium luteum (L.) A.Gray,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Liliales,623DL,Melanthiaceae,CK6,Chamaelirium,8VW5C,Chamaelirium luteum,TKDJ,
3VBV,Crataegus L.,3VBV,Crataegus L.,2,GENUS,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Rosales,3Z6,Rosaceae,FTK,Crataegus,3VBV,,,
34T5B,Dennstaedtia punctiloba (Poir.) J.Sm.,BTSPD,Sitobolium punctilobulum (Michx.) Desv.,3,SPECIES,SYNONYM,Plantae,P,Tracheophyta,TP,Polypodiopsida,GV,Polypodiales,3VL,Dennstaedtiaceae,946,Sitobolium,BC6RL,Sitobolium punctilobulum,BTSPD,
3J6B2,Hackelia virginiana (L.) I.M.Johnst.,3J6B2,Hackelia virginiana (L.) I.M.Johnst.,5,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Boraginales,TW,Boraginaceae,622G7,Hackelia,62TZT,Hackelia virginiana,3J6B2,
6HTQW,Festuca subverticillata (Pers.) E.B.Alexeev,6HTQW,Festuca subverticillata (Pers.) E.B.Alexeev,5,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Poales,627VM,Poaceae,627FW,Festuca,8VXP2,Festuca subverticillata,6HTQW,
9D74Z,Hylodesmum nudiflorum (L.) H.Ohashi & R.R.Mill,9D74Z,Hylodesmum nudiflorum (L.) H.Ohashi & R.R.Mill,6,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fabales,383,Fabaceae,623QT,Hylodesmum,9CL23,Hylodesmum nudiflorum,9D74Z,
4XWJ6,Smilax hispida Muhl. ex Torr.,6YRVZ,Smilax tamnoides L.,2,SPECIES,SYNONYM,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Liliales,623DL,Smilacaceae,GCL,Smilax,8W3MJ,Smilax tamnoides,6YRVZ,
4XD8Y,Silene stellata (L.) Coyte,4XD8Y,Silene stellata (L.) Coyte,5,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Caryophyllales,VW,Caryophyllaceae,7RZ,Silene,644QW,Silene stellata,4XD8Y,
6TBXL,Osmundastrum cinnamomeum (L.) C.Presl,6TBXL,Osmundastrum cinnamomeum (L.) C.Presl,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Polypodiopsida,GV,Osmundales,3QG,Osmundaceae,626HS,Osmundastrum,63GQ7,Osmundastrum cinnamomeum,6TBXL,LC
4F9TY,Persicaria longiseta (Bruijn) Kitag.,4F9TY,Persicaria longiseta (Bruijn) Kitag.,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Caryophyllales,VW,Polygonaceae,627KD,Persicaria,6LSN,Persicaria longiseta,4F9TY,
RB7B,Carex platyphylla J.Carey,RB7B,Carex platyphylla J.Carey,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Poales,627VM,Cyperaceae,8W5,Carex,8VRHY,Carex platyphylla,RB7B,
8W2K5,Poa L.,8W2K5,Poa L.,10,GENUS,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Poales,627VM,Poaceae,627FW,Poa,8W2K5,,,
4YVYP,Sphenopholis nitida (Biehler) Scribn.,4YVYP,Sphenopholis nitida (Biehler) Scribn.,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Poales,627VM,Poaceae,627FW,Sphenopholis,8W3Q6,Sphenopholis nitida,4YVYP,
B9K3B,Dryopteris marginalis (L.) A.Gray,B9K3B,Dryopteris marginalis (L.) A.Gray,3,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Polypodiopsida,GV,Polypodiales,3VL,Dryopteridaceae,9H9,Dryopteris,48JM,Dryopteris marginalis,B9K3B,
MQJ3,Botrypus virginianus (L.) Michx.,MQJ3,Botrypus virginianus (L.) Michx.,10,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Polypodiopsida,GV,Ophioglossales,623DM,Ophioglossaceae,KT8B2,Botrypus,3BYS,Botrypus virginianus,MQJ3,
VHV2,Cirsium discolor (Muhl. ex Willd.) Spreng.,VHV2,Cirsium discolor (Muhl. ex Willd.) Spreng.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Cirsium,3Q7P,Cirsium discolor,VHV2,
7FNL3,Veratrum latifolium (Desr.) Zomlefer,3ZC9H,Melanthium hybridum Walter,2,SPECIES,SYNONYM,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Liliales,623DL,Melanthiaceae,CK6,Melanthium,8VZ8T,Melanthium hybridum,3ZC9H,
4Y7KF,Solidago ulmifolia Muhl. ex Willd.,4Y7KF,Solidago ulmifolia Muhl. ex Willd.,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Solidago,7JH2,Solidago ulmifolia,4Y7KF,
6BBCW,Crataegus chrysocarpa Ashe,6BBCW,Crataegus chrysocarpa Ashe,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Rosales,3Z6,Rosaceae,FTK,Crataegus,3VBV,Crataegus chrysocarpa,6BBCW,LC
4RFJ2,Ranunculus abortivus L.,4RFJ2,Ranunculus abortivus L.,5,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Ranunculales,3XS,Ranunculaceae,FJR,Ranunculus,774N,Ranunculus abortivus,4RFJ2,
