"siteID","taxonID","scientificName","taxonRank","family","nativeStatusCode","morphospeciesID","identificationReferences","identificationHistoryID"
"SCBI","BRASS2","Brassica sp.","genus","Brassicaceae","I","Earlobe brassica",NA,NA
"SCBI","BRASSI","Brassicaceae sp.","family","Brassicaceae","UNK","earlobe brassica",NA,NA
"SCBI","BRAR5","Bromus arvensis L.","species","Poaceae","I",NA,NA,NA
"SCBI","BRIN2","Bromus inermis Leyss.","species","Poaceae","NI",NA,NA,NA
"SCBI","BRPU6","Bromus pubescens Muhl. ex Willd.","species","Poaceae","N",NA,NA,NA
"SCBI","BROMU","Bromus sp.","genus","Poaceae","UNK",NA,NA,NA
"SCBI","BRST2","Bromus sterilis L.","species","Poaceae","I",NA,NA,NA
"SCBI","BRPA4","Broussonetia papyrifera (L.) L'Hér. ex Vent.","species","Moraceae","I",NA,NA,NA
"SCBI","CASE13","Calystegia sepium (L.) R. Br.","species","Convolvulaceae","NI",NA,NA,NA
"SCBI","CASI10","Calystegia silvatica (Kit.) Griseb.","species","Convolvulaceae","NI",NA,NA,NA
"SCBI","CASIF","Calystegia silvatica (Kit.) Griseb. ssp. fraterniflora (Mack. & Bush) Brummitt","subspecies","Convolvulaceae","N",NA,NA,NA
"SCBI","CALYS","Calystegia sp.","genus","Convolvulaceae","UNK",NA,NA,NA
"SCBI","CARA2","Campsis radicans (L.) Seem. ex Bureau","species","Bignoniaceae","N",NA,NA,NA
"SCBI","CACO26","Cardamine concatenata (Michx.) Sw.","species","Brassicaceae","N",NA,NA,NA
"SCBI","CAHI3","Cardamine hirsuta L.","species","Brassicaceae","I",NA,NA,NA
"SCBI","CAPE3","Cardamine pensylvanica Muhl. ex Willd.","species","Brassicaceae","N",NA,NA,NA
"SCBI","CARDA","Cardamine sp.","genus","Brassicaceae","UNK",NA,NA,NA
"SCBI","CAAC","Carduus acanthoides L.","species","Asteraceae","I",NA,NA,NA
"SCBI","CANU4","Carduus nutans L.","species","Asteraceae","I",NA,NA,NA
"SCBI","CARDU","Carduus sp.","genus","Asteraceae","I",NA,NA,NA
"SCBI","CAAG2","Carex aggregata Mack.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CAAM8","Carex amphibola Steud.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CABL","Carex blanda Dewey","species","Cyperaceae","N",NA,NA,NA
"SCBI","CABR10","Carex brevior (Dewey) Mack.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CABU5","Carex bushii Mack.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CACE","Carex cephalophora Muhl. ex Willd.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CACO13","Carex conjuncta Boott","species","Cyperaceae","N",NA,NA,NA
"SCBI","CADE5","Carex debilis Michx.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CADID2","Carex digitalis Willd. var. digitalis","variety","Cyperaceae","N",NA,NA,NA
"SCBI","CAFL3","Carex flaccosperma Dewey","species","Cyperaceae","N",NA,NA,NA
"SCBI","CAFR3","Carex frankii Kunth","species","Cyperaceae","N",NA,NA,NA
"SCBI","CAGR8","Carex gracilescens Steud.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CAGR2","Carex gracillima Schwein.","species","Cyperaceae","N",NA,"Weakley 2012",NA
"SCBI","CAGR4","Carex gravida L.H. Bailey","species","Cyperaceae","N",NA,NA,NA
"SCBI","CAHI6","Carex hirsutella Mack.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CALA19","Carex laxiflora Lam.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CALE6","Carex leavenworthii Dewey","species","Cyperaceae","N",NA,NA,NA
"SCBI","CAME13","Carex mesochorea Mack.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CAMO11","Carex molesta Mack. ex Bright","species","Cyperaceae","N",NA,NA,NA
"SCBI","CAMO35","Carex molestiformis Reznicek & P. Rothr.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CAMU4","Carex muehlenbergii Schkuhr ex Willd.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CAOU","Carex ouachitana Kral, Manhart & Bryson","species","Cyperaceae","N",NA,NA,NA
"SCBI","CAPL5","Carex platyphylla Carey","species","Cyperaceae","N",NA,NA,NA
"SCBI","CARA8","Carex radiata (Wahlenb.) Small","species","Cyperaceae","N",NA,NA,NA
"SCBI","CARO22","Carex rosea Schkuhr ex Willd.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CAREX","Carex sp.","genus","Cyperaceae","UNK",NA,NA,NA
"SCBI","CASP3","Carex sparganioides Muhl. ex Willd.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CAREXSPP","Carex spp.","genus","Cyperaceae","UNK","tall stout sedge",NA,NA
"SCBI","CASQ2","Carex squarrosa L.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CASW","Carex swanii (Fernald) Mack.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CATO10","Carex tonsa (Fernald) E.P. Bicknell","species","Cyperaceae","N",NA,NA,NA
"SCBI","CAVU2","Carex vulpinoidea Michx.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CAWI2","Carex willdenowii Schkuhr ex Willd.","species","Cyperaceae","N",NA,NA,NA
"SCBI","CACA18","Carpinus caroliniana Walter","species","Betulaceae","N",NA,NA,NA
"SCBI","CACAV","Carpinus caroliniana Walter ssp. virginiana (Marshall) Furlow","subspecies","Betulaceae","N",NA,NA,NA
"SCBI","CACO15","Carya cordiformis (Wangenh.) K. Koch","species","Juglandaceae","N",NA,NA,NA
"SCBI","CAGL8","Carya glabra (Mill.) Sweet","species","Juglandaceae","N",NA,NA,NA
"SCBI","CAOV3","Carya ovalis (Wangenh.) Sarg.","species","Juglandaceae","N",NA,NA,NA
"SCBI","CARYA","Carya sp.","genus","Juglandaceae","N",NA,NA,NA
"SCBI","CATE9","Carya texana Buckley","species","Juglandaceae","N",NA,NA,NA
"SCBI","CATO6","Carya tomentosa (Lam.) Nutt.","species","Juglandaceae","N",NA,NA,NA
"SCBI","CACA94","Catananche caerulea L.","species","Asteraceae","UNK",NA,NA,NA
"SCBI","CEOR7","Celastrus orbiculatus Thunb.","species","Celastraceae","I",NA,NA,NA
"SCBI","CESC","Celastrus scandens L.","species","Celastraceae","N",NA,NA,NA
"SCBI","CEOC","Celtis occidentalis L.","species","Ulmaceae","N",NA,NA,NA
"SCBI","CESTM","Centaurea stoebe L. ssp. micranthos (Gugler) Hayek","subspecies","Asteraceae","I",NA,NA,NA
"SCBI","CEFOV2","Cerastium fontanum Baumg. ssp. vulgare (Hartm.) Greuter & Burdet","subspecies","Caryophyllaceae","I",NA,NA,NA
"SCBI","CEGL2","Cerastium glomeratum Thuill.","species","Caryophyllaceae","I",NA,NA,NA
"SCBI","CERAS","Cerastium sp.","genus","Caryophyllaceae","UNK",NA,NA,NA
"SCBI","CECAC","Cercis canadensis L. var. canadensis","variety","Fabaceae","N",NA,NA,NA
"SCBI","CHPRP","Chaerophyllum procumbens (L.) Crantz var. procumbens","variety","Apiaceae","N",NA,NA,NA
"SCBI","CHMA18","Chaiturus marrubiastrum (L.) Rchb.","species","Lamiaceae","I",NA,NA,NA
"SCBI","CHAMA17","Chamaecrista sp.","genus","Fabaceae","N",NA,NA,NA
"SCBI","CHAL7","Chenopodium album L.","species","Chenopodiaceae","NI",NA,NA,NA
"SCBI","CHENO","Chenopodium sp.","genus","Chenopodiaceae","UNK",NA,NA,NA
"SCBI","CHMA3","Chimaphila maculata (L.) Pursh","species","Pyrolaceae","N",NA,NA,NA
"SCBI","CHJU","Chondrilla juncea L.","species","Asteraceae","I",NA,NA,NA
"SCBI","CIIN","Cichorium intybus L.","species","Asteraceae","I",NA,NA,NA
"SCBI","CICHO","Cichorium sp.","genus","Asteraceae","I",NA,NA,NA
"SCBI","CIAR2","Cinna arundinacea L.","species","Poaceae","N",NA,NA,NA
"SCBI","CILU","Circaea lutetiana L.","species","Onagraceae","N",NA,NA,NA
"SCBI","CILUC","Circaea lutetiana L. ssp. canadensis (L.) Asch. & Magnus","subspecies","Onagraceae","N",NA,NA,NA
"SCBI","CIDI","Cirsium discolor (Muhl. ex Willd.) Spreng.","species","Asteraceae","N",NA,NA,NA
"SCBI","CIRSI","Cirsium sp.","genus","Asteraceae","UNK",NA,NA,NA
"SCBI","CIVI","Cirsium virginianum (L.) Michx.","species","Asteraceae","N",NA,NA,NA
"SCBI","CIVU","Cirsium vulgare (Savi) Ten.","species","Asteraceae","I",NA,NA,NA
"SCBI","CLTE4","Clematis terniflora DC.","species","Ranunculaceae","I",NA,NA,NA
"SCBI","CLVI5","Clematis virginiana L.","species","Ranunculaceae","N",NA,NA,NA
"SCBI","CLVU","Clinopodium vulgare L.","species","Lamiaceae","N",NA,NA,NA
"SCBI","COAU4","Colchicum autumnale L.","species","Liliaceae","I",NA,NA,NA
"SCBI","COCA4","Collinsonia canadensis L.","species","Lamiaceae","N",NA,NA,NA
"SCBI","COCO3","Commelina communis L.","species","Commelinaceae","I",NA,NA,NA
"SCBI","COAM","Conopholis americana (L.) Wallr.","species","Orobanchaceae","N",NA,NA,NA
