label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Hesperostipa comata (Trin. & Rupr.) Barkworth,Hesperostipa comata,Hesperostipa comata (Trin. & Rupr.) Barkworth,Plantae Tracheophyta Liliopsida Poales Poaceae Hesperostipa Hesperostipa comata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Heterotheca villosa (Pursh) Shinners,Heterotheca villosa,Heterotheca villosa (Pursh) Shinners,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Heterotheca Heterotheca villosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Lactuca serriola L.,Lactuca serriola,Lactuca serriola L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Lactuca Lactuca serriola,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Lepidium densiflorum Schrad.,Lepidium densiflorum,Lepidium densiflorum Schrad.,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Lepidium Lepidium densiflorum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Lepidium montanum Nutt.,Lepidium montanum,Lepidium montanum Nutt.,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Lepidium Lepidium montanum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Leucocrinum montanum Nutt. ex A. Gray,Leucocrinum montanum,Leucocrinum montanum Nutt. ex A. Gray,Plantae Tracheophyta Liliopsida Asparagales Asparagaceae Leucocrinum Leucocrinum montanum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Liatris punctata Hook.,Liatris punctata,Liatris punctata Hook.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Liatris Liatris punctata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Linum rigidum Pursh,Linum rigidum,Linum rigidum Pursh,Plantae Tracheophyta Magnoliopsida Malpighiales Linaceae Linum Linum rigidum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Lithospermum incisum Lehm.,Lithospermum incisum,Lithospermum incisum Lehm.,Plantae Tracheophyta Magnoliopsida Boraginales Boraginaceae Lithospermum Lithospermum incisum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Lobularia maritima (L.) Desv.,Lobularia maritima,Lobularia maritima (L.) Desv.,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Lobularia Lobularia maritima,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Lomatium nuttallii (A. Gray) J.F. Macbr.,Lomatium nuttallii,Lomatium nuttallii (A. Gray) J.F. Macbr.,Plantae Tracheophyta Magnoliopsida Apiales Apiaceae Lomatium Lomatium nuttallii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Lygodesmia juncea (Pursh) D. Don ex Hook.,Lygodesmia juncea,Lygodesmia juncea (Pursh) D. Don ex Hook.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Lygodesmia Lygodesmia juncea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Machaeranthera pinnatifida (Hook.) Shinners,Xanthisma spinulosum,Machaeranthera pinnatifida (Hook.) Shinners,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Xanthisma Xanthisma spinulosum,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
