label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Galium mollugo L.,Galium mollugo,Galium mollugo L.,Plantae Tracheophyta Magnoliopsida Gentianales Rubiaceae Galium mollugo,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Galium pilosum Aiton,Galium pilosum,Galium pilosum Aiton,Plantae Tracheophyta Magnoliopsida Gentianales Rubiaceae Galium pilosum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Galium tinctorium (L.) Scop.,Galium tinctorium,Galium tinctorium (L.) Scop.,Plantae Tracheophyta Magnoliopsida Gentianales Rubiaceae Galium tinctorium,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Galium triflorum Michx.,Galium triflorum,Galium triflorum Michx.,Plantae Tracheophyta Magnoliopsida Gentianales Rubiaceae Galium triflorum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Geranium carolinianum L.,Geranium carolinianum,Geranium carolinianum L.,Plantae Tracheophyta Magnoliopsida Geraniales Geraniaceae Geranium carolinianum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Geranium columbinum L.,Geranium columbinum,Geranium columbinum L.,Plantae Tracheophyta Magnoliopsida Geraniales Geraniaceae Geranium columbinum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Geranium maculatum L.,Geranium maculatum,Geranium maculatum L.,Plantae Tracheophyta Magnoliopsida Geraniales Geraniaceae Geranium maculatum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Geranium sp.,Geranium ,Geranium sp.,Plantae Tracheophyta Magnoliopsida Geraniales Geraniaceae Geranium,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Geum canadense Jacq.,Geum canadense,Geum canadense Jacq.,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Geum canadense,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Geum laciniatum Murray,Geum laciniatum,Geum laciniatum Murray,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Geum laciniatum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
