label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Scutellaria sp.,Scutellaria ,Scutellaria sp.,Plantae Tracheophyta Magnoliopsida Lamiales Lamiaceae Scutellaria,MULTI_EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_HOMONYM
Senecio spartioides Torr. & A. Gray,Senecio spartioides,Senecio spartioides Torr. & A. Gray,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Senecio spartioides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Sisymbrium altissimum L.,Sisymbrium altissimum,Sisymbrium altissimum L.,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Sisymbrium altissimum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Solanum rostratum Dunal,Solanum angustifolium,Solanum rostratum Dunal,Plantae Tracheophyta Magnoliopsida Solanales Solanaceae Solanum angustifolium,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Solanum triflorum Nutt.,Solanum triflorum,Solanum triflorum Nutt.,Plantae Tracheophyta Magnoliopsida Solanales Solanaceae Solanum triflorum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Solidago simplex Kunth,Solidago simplex,Solidago simplex Kunth,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Solidago simplex,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Sophora nuttalliana B.L. Turner,Sophora nuttalliana,Sophora nuttalliana B.L. Turner,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Sophora nuttalliana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Sophora sp.,Sophora ,Sophora sp.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Sophora,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Sphaeralcea coccinea (Nutt.) Rydb.,Sphaeralcea coccinea,Sphaeralcea coccinea (Nutt.) Rydb.,Plantae Tracheophyta Magnoliopsida Malvales Malvaceae Sphaeralcea coccinea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Sporobolus airoides (Torr.) Torr.,Sporobolus airoides,Sporobolus airoides (Torr.) Torr.,Plantae Tracheophyta Liliopsida Poales Poaceae Sporobolus airoides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Sporobolus compositus (Poir.) Merr.,Sporobolus compositus,Sporobolus compositus (Poir.) Merr.,Plantae Tracheophyta Liliopsida Poales Poaceae Sporobolus compositus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Sporobolus contractus Hitchc.,Sporobolus contractus,Sporobolus contractus Hitchc.,Plantae Tracheophyta Liliopsida Poales Poaceae Sporobolus contractus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Sporobolus cryptandrus (Torr.) A. Gray,Sporobolus cryptandrus,Sporobolus cryptandrus (Torr.) A. Gray,Plantae Tracheophyta Liliopsida Poales Poaceae Sporobolus cryptandrus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Stanleya albescens M.E. Jones,Stanleya albescens,Stanleya albescens M.E. Jones,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Stanleya albescens,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Stephanomeria pauciflora (Torr.) A. Nelson,Stephanomeria pauciflora,Stephanomeria pauciflora (Torr.) A. Nelson,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Stephanomeria pauciflora,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Symphyotrichum falcatum (Lindl.) G.L. Nesom var. commutatum (Torr. & A. Gray) G.L. Nesom,Symphyotrichum falcatum,Symphyotrichum falcatum (Lindl.) G.L. Nesom var. commutatum (Torr. & A. Gray) G.L. Nesom,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Symphyotrichum falcatum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Symphyotrichum sericeum (Vent.) G.L. Nesom,Symphyotrichum sericeum,Symphyotrichum sericeum (Vent.) G.L. Nesom,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Symphyotrichum sericeum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Taraxacum officinale F.H. Wigg.,Taraxacum officinale,Taraxacum officinale F.H. Wigg.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Taraxacum officinale,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Thalictrum fendleri Engelm. ex A. Gray,Thalictrum fendleri,Thalictrum fendleri Engelm. ex A. Gray,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Thalictrum fendleri,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Thelesperma filifolium (Hook.) A. Gray,Thelesperma filifolium,Thelesperma filifolium (Hook.) A. Gray,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Thelesperma filifolium,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Thelesperma megapotamicum (Spreng.) Kuntze,Thelesperma megapotamicum,Thelesperma megapotamicum (Spreng.) Kuntze,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Thelesperma megapotamicum,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Thelesperma sp.,Thelesperma ,Thelesperma sp.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Thelesperma,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Thelypodiopsis elegans (M.E. Jones) Rydb.,Thelypodiopsis elegans,Thelypodiopsis elegans (M.E. Jones) Rydb.,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Thelypodiopsis elegans,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Thermopsis divaricarpa A. Nelson,Thermopsis rhombifolia,Thermopsis divaricarpa A. Nelson,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Thermopsis rhombifolia,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
