label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Asclepias purpurascens L.,Asclepias purpurascens,Asclepias purpurascens L.,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias purpurascens,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Asclepias quadrifolia Jacq.,Asclepias quadrifolia,Asclepias quadrifolia Jacq.,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias quadrifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Asclepias syriaca L.,Asclepias syriaca,Asclepias syriaca L.,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias syriaca,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Asclepias viridiflora Raf.,Asclepias viridiflora,Asclepias viridiflora Raf.,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias viridiflora,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Asimina triloba (L.) Dunal,Asimina triloba,Asimina triloba (L.) Dunal,Plantae Tracheophyta Magnoliopsida Magnoliales Annonaceae Asimina triloba,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Athyrium asplenioides (Michx.) Desv.,Athyrium asplenioides,Athyrium asplenioides (Michx.) Desv.,Plantae Tracheophyta Polypodiopsida Polypodiales Athyriaceae Athyrium asplenioides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Aureolaria Raf.,Aureolaria ,Aureolaria Raf.,Plantae Tracheophyta Magnoliopsida Lamiales Orobanchaceae Aureolaria,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Aureolaria levigata (Raf.) Raf.,Aureolaria levigata,Aureolaria levigata (Raf.) Raf.,Plantae Tracheophyta Magnoliopsida Lamiales Orobanchaceae Aureolaria levigata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Aureolaria virginica (L.) Pennell,Aureolaria virginica,Aureolaria virginica (L.) Pennell,Plantae Tracheophyta Magnoliopsida Lamiales Orobanchaceae Aureolaria virginica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Barbarea vulgaris W.T.Aiton,Barbarea vulgaris,Barbarea vulgaris W.T.Aiton,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Barbarea vulgaris,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Berberis thunbergii DC.,Berberis thunbergii,Berberis thunbergii DC.,Plantae Tracheophyta Magnoliopsida Ranunculales Berberidaceae Berberis thunbergii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Betula lenta L.,Betula lenta,Betula lenta L.,Plantae Tracheophyta Magnoliopsida Fagales Betulaceae Betula lenta,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Bidens frondosa L.,Bidens frondosa,Bidens frondosa L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Bidens frondosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Boehmeria cylindrica (L.) Sw.,Boehmeria cylindrica,Boehmeria cylindrica (L.) Sw.,Plantae Tracheophyta Magnoliopsida Rosales Urticaceae Boehmeria cylindrica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Borodinia laevigata (Muhl. ex Willd.) P.J.Alexander & Windham,Borodinia laevigata,Borodinia laevigata (Muhl. ex Willd.) P.J.Alexander & Windham,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Borodinia laevigata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Botrypus virginianus (L.) Michx.,Botrypus virginianus,Botrypus virginianus (L.) Michx.,Plantae Tracheophyta Polypodiopsida Ophioglossales Ophioglossaceae Botrypus virginianus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Brachythecium rivulare Schimp.,Brachythecium rivulare,Brachythecium rivulare Schimp.,Plantae Bryophyta Bryopsida Hypnales Brachytheciaceae Brachythecium rivulare,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Bromus L.,Bromus ,Bromus L.,Plantae Tracheophyta Liliopsida Poales Poaceae Bromus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Bromus pubescens Spreng.,Bromus pubescens,Bromus pubescens Spreng.,Plantae Tracheophyta Liliopsida Poales Poaceae Bromus pubescens,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Bryoandersonia illecebra (Hedw.) H. Rob.,Bryoandersonia illecebra,Bryoandersonia illecebra (Hedw.) H. Rob.,Plantae Bryophyta Bryopsida Hypnales Brachytheciaceae Bryoandersonia illecebra,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Buddleja davidii Franch.,Buddleja davidii,Buddleja davidii Franch.,Plantae Tracheophyta Magnoliopsida Lamiales Scrophulariaceae Buddleja davidii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Caltha palustris L.,Caltha palustris,Caltha palustris L.,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Caltha palustris,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Campanula divaricata Michx.,Campanula divaricata,Campanula divaricata Michx.,Plantae Tracheophyta Magnoliopsida Asterales Campanulaceae Campanula divaricata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Campanula rapunculoides L.,Campanula rapunculoides,Campanula rapunculoides L.,Plantae Tracheophyta Magnoliopsida Asterales Campanulaceae Campanula rapunculoides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Campsis radicans (L.) Bureau,Campsis radicans,Campsis radicans (L.) Bureau,Plantae Tracheophyta Magnoliopsida Lamiales Bignoniaceae Campsis radicans,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Cardamine concatenata (Michx.) O.Schwarz,Cardamine concatenata,Cardamine concatenata (Michx.) O.Schwarz,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Cardamine concatenata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
