label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Artemisia cana Pursh,Artemisia cana,Artemisia cana Pursh,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia cana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Artemisia dracunculus L.,Artemisia dracunculus,Artemisia dracunculus L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia dracunculus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Artemisia filifolia Torr.,Artemisia filifolia,Artemisia filifolia Torr.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia filifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Artemisia frigida Willd.,Artemisia frigida,Artemisia frigida Willd.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia frigida,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Artemisia glauca Pall. ex Willd.,Artemisia glauca,Artemisia glauca Pall. ex Willd.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia glauca,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Artemisia ludoviciana Nutt.,Artemisia ludoviciana,Artemisia ludoviciana Nutt.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia ludoviciana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Asclepias arenaria Torr.,Asclepias arenaria,Asclepias arenaria Torr.,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias arenaria,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Asclepias engelmanniana Woodson,Asclepias engelmanniana,Asclepias engelmanniana Woodson,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias engelmanniana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Asclepias hallii A.Gray,Asclepias hallii,Asclepias hallii A.Gray,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias hallii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Asclepias incarnata L.,Asclepias incarnata,Asclepias incarnata L.,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias incarnata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Asclepias pumila (A.Gray) Vail,Asclepias pumila,Asclepias pumila (A.Gray) Vail,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias pumila,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Asclepias speciosa Torr.,Asclepias speciosa,Asclepias speciosa Torr.,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias speciosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
